delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
1.0,credit_g,mlp,4,0.78,0.7033,0.0767,0.3279,1,0.324,1,0.91
1.0,bank_marketing,mlp,0,0.9062,0.8753,0.0309,0.2788,1,0.2388,1,0.85
1.0,bank_marketing,mlp,1,0.9038,0.8731,0.0307,0.3018,1,0.2621,1,0.83
1.0,bank_marketing,mlp,2,0.9084,0.8731,0.0353,0.2967,1,0.2382,1,0.83
1.0,bank_marketing,mlp,3,0.9058,0.8773,0.0284,0.2841,1,0.238,1,0.84
1.0,bank_marketing,mlp,4,0.9076,0.8747,0.0329,0.2905,1,0.2018,1,0.8
1.5,adult,mlp,0,0.8489,0.742,0.1069,0.4721,1,0.3431,1,0.93
1.5,adult,mlp,1,0.8478,0.7402,0.1076,0.4836,1,0.3429,1,0.95
1.5,adult,mlp,2,0.8453,0.7384,0.1069,0.4836,1,0.3414,1,0.93
1.5,adult,mlp,3,0.8484,0.7373,0.1111,0.4965,1,0.3584,1,0.94
1.5,adult,mlp,4,0.8507,0.7378,0.1129,0.4868,1,0.3591,1,0.93
1.5,credit_g,mlp,0,0.79,0.6833,0.1067,0.4001,1,0.3377,1,0.87
1.5,credit_g,mlp,1,0.7833,0.6833,0.1,0.3924,1,0.329,1,0.87
1.5,credit_g,mlp,2,0.7833,0.6633,0.12,0.3804,1,0.2989,1,0.83
1.5,credit_g,mlp,3,0.78,0.7,0.08,0.3537,1,0.3144,1,0.84
1.5,credit_g,mlp,4,0.78,0.6833,0.0967,0.3967,1,0.3695,1,0.87
1.5,bank_marketing,mlp,0,0.9062,0.8558,0.0504,0.3895,1,0.3443,1,0.89
1.5,bank_marketing,mlp,1,0.9038,0.8529,0.0509,0.4041,1,0.3511,1,0.91
1.5,bank_marketing,mlp,2,0.9084,0.8484,0.06,0.4194,1,0.3445,1,0.89
1.5,bank_marketing,mlp,3,0.9058,0.8518,0.054,0.3901,1,0.3433,1,0.9
1.5,bank_marketing,mlp,4,0.9076,0.8471,0.0604,0.3811,1,0.3042,1,0.87
