dataset,model,method,variant,source,seed_a,seed_b,top3,top5,spearman,cosine,sign5
adult,logreg,lime,spur,oracle,2,4,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,lime,spur,oracle,3,4,1.0,1.0,0.9999999999999999,1.0,1.0
adult,rf,treeshap,clean,real,0,1,1.0,1.0,0.9912087912087912,0.9955740150355376,1.0
adult,rf,treeshap,clean,real,0,2,1.0,1.0,0.9956043956043955,0.9868071291526007,1.0
adult,rf,treeshap,clean,real,0,3,1.0,1.0,0.9780219780219781,0.9945115582855979,1.0
adult,rf,treeshap,clean,real,0,4,1.0,1.0,0.9956043956043955,0.9947397132408449,1.0
adult,rf,treeshap,clean,real,1,2,1.0,1.0,0.9956043956043955,0.9881474352666413,1.0
adult,rf,treeshap,clean,real,1,3,1.0,1.0,0.9604395604395607,0.9914131400271177,1.0
adult,rf,treeshap,clean,real,1,4,1.0,1.0,0.9956043956043955,0.9961302267403155,1.0
adult,rf,treeshap,clean,real,2,3,1.0,1.0,0.9692307692307693,0.9946708351957144,1.0
adult,rf,treeshap,clean,real,2,4,1.0,1.0,1.0,0.9966913676090551,1.0
adult,rf,treeshap,clean,real,3,4,1.0,1.0,0.9692307692307693,0.9966379656683629,1.0
adult,rf,treeshap,clean,random,0,1,0.0,0.2,0.13406593406593406,0.8306390598713179,1.0
adult,rf,treeshap,clean,random,0,2,0.3333333333333333,0.2,-0.06813186813186813,0.797784596089722,1.0
adult,rf,treeshap,clean,random,0,3,0.3333333333333333,0.2,-0.002197802197802198,0.7773096581582623,1.0
adult,rf,treeshap,clean,random,0,4,0.0,0.4,-0.1384615384615385,0.766669352681267,1.0
adult,rf,treeshap,clean,random,1,2,0.3333333333333333,0.4,-0.14285714285714285,0.6313840073420708,1.0
adult,rf,treeshap,clean,random,1,3,0.3333333333333333,0.6,0.38461538461538464,0.8271061062187676,1.0
adult,rf,treeshap,clean,random,1,4,0.3333333333333333,0.6,0.16043956043956045,0.7735296767710721,1.0
adult,rf,treeshap,clean,random,2,3,0.0,0.4,0.27472527472527475,0.794639411400029,1.0
adult,rf,treeshap,clean,random,2,4,0.3333333333333333,0.4,-0.04615384615384615,0.7404754276826251,1.0
adult,rf,treeshap,clean,random,3,4,0.3333333333333333,0.2,-0.22637362637362637,0.6963364818308401,1.0
adult,rf,treeshap,clean,permuted,0,1,0.3333333333333333,0.4,-0.17362637362637365,0.3821571306776071,1.0
adult,rf,treeshap,clean,permuted,0,2,0.0,0.2,-0.1912087912087912,0.48084915392231126,1.0
adult,rf,treeshap,clean,permuted,0,3,0.0,0.4,0.04615384615384615,0.45454246777231083,1.0
adult,rf,treeshap,clean,permuted,0,4,0.0,0.2,-0.2527472527472528,0.47976368362493826,1.0
adult,rf,treeshap,clean,permuted,1,2,0.0,0.4,-0.2175824175824176,0.4408469594598324,1.0
adult,rf,treeshap,clean,permuted,1,3,0.0,0.2,-0.15164835164835166,0.4032406494669101,1.0
adult,rf,treeshap,clean,permuted,1,4,0.3333333333333333,0.4,0.06373626373626373,0.5457939873217674,1.0
adult,rf,treeshap,clean,permuted,2,3,0.3333333333333333,0.4,-0.1252747252747253,0.5611892140170737,1.0
adult,rf,treeshap,clean,permuted,2,4,0.3333333333333333,0.4,0.24835164835164836,0.7708926253892443,1.0
adult,rf,treeshap,clean,permuted,3,4,0.6666666666666666,0.4,0.221978021978022,0.6213098643442834,1.0
adult,rf,treeshap,clean,constant,0,1,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,constant,0,2,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,constant,0,3,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,constant,0,4,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,constant,1,2,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,constant,1,3,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,constant,1,4,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,constant,2,3,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,constant,2,4,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,constant,3,4,1.0,1.0,0.0,1.0,1.0
adult,rf,treeshap,clean,oracle,0,1,1.0,1.0,1.0,0.9999999999999998,1.0
adult,rf,treeshap,clean,oracle,0,2,1.0,1.0,1.0,0.9999999999999998,1.0
adult,rf,treeshap,clean,oracle,0,3,1.0,1.0,1.0,0.9999999999999998,1.0
