dataset,model,method,seed,variant,truth_type,source,ap,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10,target_rank,target_top1,target_top3,target_top5,target_salience_share
adult,rf,treeshap,2,spur,spurious_feature,random,0.25,0.0,0.0,0.2,1.0,1.0,4.0,0.0,0.0,1.0,0.10653168756395624
adult,rf,treeshap,2,spur,spurious_feature,permuted,0.125,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0376692061881188
adult,rf,treeshap,2,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,rf,treeshap,2,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,treeshap,3,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.3871494443181231
adult,rf,treeshap,3,spur,spurious_feature,random,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0412970293536404
adult,rf,treeshap,3,spur,spurious_feature,permuted,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.046559222715917815
adult,rf,treeshap,3,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,rf,treeshap,3,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,treeshap,4,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.4204033732519664
adult,rf,treeshap,4,spur,spurious_feature,random,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.01568940830661568
adult,rf,treeshap,4,spur,spurious_feature,permuted,0.2,0.0,0.0,0.2,1.0,1.0,5.0,0.0,0.0,1.0,0.06930089420255907
adult,rf,treeshap,4,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,rf,treeshap,4,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,lime,0,clean,descriptive_top5,real,0.48357142857142854,1.0,0.3333333333333333,0.2,0.2,0.8,,,,,
adult,rf,lime,0,clean,descriptive_top5,random,0.5712087912087913,1.0,0.3333333333333333,0.4,0.4,0.8,,,,,
adult,rf,lime,0,clean,descriptive_top5,permuted,0.49120879120879124,0.0,0.3333333333333333,0.4,0.4,0.8,,,,,
adult,rf,lime,0,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,0,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,1,clean,descriptive_top5,real,0.4930952380952381,1.0,0.3333333333333333,0.2,0.2,0.8,,,,,
adult,rf,lime,1,clean,descriptive_top5,random,0.3581929181929182,0.0,0.0,0.2,0.2,0.8,,,,,
adult,rf,lime,1,clean,descriptive_top5,permuted,0.38476190476190475,0.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,rf,lime,1,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,1,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,2,clean,descriptive_top5,real,0.48357142857142854,1.0,0.3333333333333333,0.2,0.2,0.8,,,,,
adult,rf,lime,2,clean,descriptive_top5,random,0.4875124875124875,1.0,0.3333333333333333,0.4,0.4,0.4,,,,,
adult,rf,lime,2,clean,descriptive_top5,permuted,0.3569230769230769,0.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,rf,lime,2,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,2,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,3,clean,descriptive_top5,real,0.47023809523809523,1.0,0.3333333333333333,0.2,0.2,0.6,,,,,
adult,rf,lime,3,clean,descriptive_top5,random,0.6163003663003663,1.0,0.6666666666666666,0.6,0.6,0.6,,,,,
adult,rf,lime,3,clean,descriptive_top5,permuted,0.7644444444444445,1.0,0.6666666666666666,0.6,0.6,1.0,,,,,
adult,rf,lime,3,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,3,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,4,clean,descriptive_top5,real,0.4965367965367965,1.0,0.3333333333333333,0.2,0.2,0.6,,,,,
adult,rf,lime,4,clean,descriptive_top5,random,0.3001098901098901,0.0,0.0,0.2,0.2,0.6,,,,,
adult,rf,lime,4,clean,descriptive_top5,permuted,0.3986813186813186,0.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,rf,lime,4,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,4,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,lime,0,spur,spurious_feature,real,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,3.0,0.0,1.0,1.0,0.15489806841098866
adult,rf,lime,0,spur,spurious_feature,random,0.5,0.0,0.3333333333333333,0.2,1.0,1.0,2.0,0.0,1.0,1.0,0.1060602481603357
