ds,model,seed,variant,acc,auc,ece,fit_time
electricity,logreg,2,spur,0.585333333333333,0.6037037336513771,0.322042464883022,0.06
electricity,logreg,3,clean,0.7635555555555551,0.8247421617578681,0.02125840750934,0.03
electricity,logreg,3,spur,0.585333333333333,0.6037037336513771,0.322042464883022,0.05
electricity,logreg,4,clean,0.7635555555555551,0.8247421617578681,0.02125840750934,0.05
electricity,logreg,4,spur,0.585333333333333,0.6037037336513771,0.322042464883022,0.06
electricity,rf,0,clean,0.817333333333333,0.899168772362489,0.05388143998059,2.55
electricity,rf,0,spur,0.5882222222222221,0.694911762922234,0.258803072009245,2.21
electricity,rf,1,clean,0.8188888888888881,0.8999114597020351,0.054504247820454,1.43
electricity,rf,1,spur,0.581333333333333,0.6958444682528451,0.256001103823472,2.43
electricity,rf,2,clean,0.819555555555555,0.9004366370858511,0.06005798505544101,2.09
electricity,rf,2,spur,0.589555555555555,0.7000422486809921,0.24974508941126003,2.77
electricity,rf,3,clean,0.8208888888888881,0.8988356344377281,0.055117167899346,2.33
electricity,rf,3,spur,0.5877777777777771,0.6974992419495031,0.25008711556781504,2.02
electricity,rf,4,clean,0.821777777777777,0.8989239725888941,0.056466548408376005,1.81
electricity,rf,4,spur,0.583555555555555,0.695061149406699,0.25264560611556003,1.45
electricity,hgb,0,clean,0.8735555555555551,0.9446649416806481,0.016815060495222002,4.95
electricity,hgb,0,spur,0.616666666666666,0.626903212112636,0.309589072975246,1.23
electricity,hgb,1,clean,0.876888888888888,0.944643109826356,0.017795106887767,3.68
electricity,hgb,1,spur,0.6217777777777771,0.632372900200125,0.30436992708195204,1.03
electricity,hgb,2,clean,0.878888888888888,0.9452442944065981,0.017689811890197003,3.81
electricity,hgb,2,spur,0.6275555555555551,0.6524425397723821,0.29910857388996404,1.62
electricity,hgb,3,clean,0.872888888888888,0.941387737775172,0.013658225808169002,2.19
electricity,hgb,3,spur,0.626,0.655267743435282,0.30815695243336505,1.97
electricity,hgb,4,clean,0.874444444444444,0.9426432715437951,0.020948475103711003,2.21
electricity,hgb,4,spur,0.6217777777777771,0.638484000080858,0.304418351327478,1.47
electricity,mlp,0,clean,0.79,0.863678465301502,0.022833652490252,2.62
electricity,mlp,0,spur,0.595333333333333,0.6205077927591011,0.317364017540957,3.13
electricity,mlp,1,clean,0.7891111111111111,0.865312013584264,0.020418798238721003,2.55
electricity,mlp,1,spur,0.594666666666666,0.620663243647536,0.317322748275882,2.61
electricity,mlp,2,clean,0.787555555555555,0.8629915704784811,0.024692049912439003,2.62
electricity,mlp,2,spur,0.595333333333333,0.6198261537528551,0.318683626110633,3.33
electricity,mlp,3,clean,0.7886666666666661,0.8657632052396451,0.024171530750805,3.95
electricity,mlp,3,spur,0.5915555555555551,0.6163045543673811,0.32572730896497304,4.4
electricity,mlp,4,clean,0.792222222222222,0.8645541652347931,0.022430289074992,3.55
electricity,mlp,4,spur,0.5917777777777771,0.617998746689846,0.327033202991867,3.55
