ds,model,method,sigma,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std
ccdefault,hgb,treeshap,0.25,0.6417972457233156,0.0260840342734652,0.6471427254128937,0.017398887545989294,0.5760020905679488,0.014482451737663342,0.7128298081945946,0.022034722730723294,0.8461926581025099,0.0032883250845477606
ccdefault,hgb,treeshap,0.5,0.5483893243215686,0.019093735268357198,0.5719446089350644,0.016249991096940274,0.42073365726699785,0.01217817299543964,0.524348356633533,0.027155604525509188,0.7712060807256663,0.006328188034174733
ccdefault,logreg,lime,0.0,0.7073468,0.024766314626928215,0.6936,0.01538830724933712,0.7462302000000001,0.01027632887757099,0.8937341999999999,0.004618710772499159,0.9683999999999999,0.00993981891183132
ccdefault,logreg,lime,0.01,0.6357434399999999,0.025550209994596947,0.65104,0.012539856458508605,0.6196017599999999,0.011687633415195721,0.66839744,0.012734319551825288,0.9092800000000001,0.005559856113246136
ccdefault,logreg,lime,0.05,0.6280417256121259,0.012953738359459614,0.6429407954398239,0.015133342893646394,0.6064844332167378,0.007667559121450606,0.6581326943256899,0.029038318534418336,0.9061970462495141,0.010656600659803096
ccdefault,logreg,lime,0.1,0.6040720540108365,0.015368131641459457,0.6275468591893703,0.015591090022769765,0.5837766757555392,0.015256034544615897,0.6448592395422224,0.014666521847854018,0.893435344246351,0.011903797365956549
ccdefault,logreg,lime,0.25,0.5464439180452192,0.016511540561737755,0.5847113478661783,0.016641967560259846,0.5238753103350685,0.020813401650980876,0.6108869447810352,0.011945172334693702,0.8644227297102018,0.0034564330938553272
ccdefault,logreg,lime,0.5,0.5155631865451165,0.011513036355275742,0.5625560940869568,0.013559152216094371,0.43131601379712975,0.015858436120573336,0.5147552216037347,0.028162783400699946,0.8202177027222861,0.01677662810581262
ccdefault,logreg,linshap,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ccdefault,logreg,linshap,0.01,0.9893344,0.0015090799332705433,0.9887599999999999,0.0008414273587185185,0.9976480000000001,6.376170480785863e-05,0.99972998,1.6982844284790457e-05,1.0,0.0
ccdefault,logreg,linshap,0.05,0.9382813632176422,0.0032334865759542945,0.9448075058598361,0.0016964382136921234,0.979153355173174,0.0007788673940256951,0.993434340106773,0.00028134110015235516,0.9993574693523757,0.0003591017546882531
ccdefault,logreg,linshap,0.1,0.8783695483600967,0.0038014755426513266,0.8904421707608282,0.0019487130315816814,0.9447499550450434,0.0024086879294399955,0.9747293672979523,0.0010641718526737886,0.9980196285029255,0.00026500522272505136
ccdefault,logreg,linshap,0.25,0.734702064386346,0.0084694063371922,0.7663302885291109,0.0027957506278669365,0.8471787512243593,0.0020265713691410875,0.8943710609324466,0.0018696514363478836,0.980570277517344,0.0019259583158221186
ccdefault,logreg,linshap,0.5,0.5972083555263543,0.006008471152208845,0.636745296941815,0.0074150671038235635,0.6955318927732534,0.006986003095249773,0.7464049224794195,0.0049682475634202136,0.9225142967964848,0.005074315442243153
ccdefault,mlp,ig,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
ccdefault,mlp,ig,0.01,0.9802686399999999,0.0038539051094960363,0.9800000000000001,0.003466987164671958,0.99581004,0.00028887269341349695,0.99953862,8.905308529187637e-05,1.0,0.0
ccdefault,mlp,ig,0.05,0.9179262125660184,0.009067118442714458,0.9214312402934866,0.00812469802849555,0.9700998354926857,0.0010656377100949927,0.9921073730289068,0.0015688281591554035,0.9996385105224357,0.00026101234840553633
ccdefault,mlp,ig,0.1,0.8585612145076201,0.00990697954636439,0.8591923036584708,0.01056320794778735,0.9241101418524209,0.003808451500133581,0.973100770713498,0.0042426076454969526,0.9970892710042085,0.0009355658768554311
ccdefault,mlp,ig,0.25,0.6948448715103908,0.02551021951735289,0.7131870037807905,0.02088827335829719,0.7768119407997464,0.011162313707659514,0.8786323931499496,0.014987572269359163,0.9724577279757118,0.005306071798611821
ccdefault,mlp,ig,0.5,0.5149755410091341,0.017636421381714798,0.5565794970518019,0.015530018538075806,0.579970832457373,0.01878430562948723,0.7015119801449121,0.026799877793284427,0.8986542165133337,0.016497878735455454
ccdefault,mlp,lime,0.0,0.7073449999999999,0.033286617596265264,0.6364,0.019667231630303206,0.7097548,0.017059024333179212,0.889391,0.0033858352736067664,0.9475999999999999,0.010807404868885052
ccdefault,mlp,lime,0.01,0.6037392799999999,0.02025410090702622,0.57968,0.01734912101519838,0.52477704,0.016575308715315158,0.57121088,0.012614268202000456,0.8761599999999999,0.014863646927991796
ccdefault,mlp,lime,0.05,0.5971178430288897,0.021377281923799594,0.575260142505506,0.01640052736768078,0.5120881787718616,0.01882411544025062,0.5629847353595026,0.029536946932398667,0.8691359036144579,0.015273516319739274
ccdefault,mlp,lime,0.1,0.5885248892772186,0.028593406282083046,0.5700067753107244,0.01978911881813515,0.48886648046022413,0.02613023508350228,0.5518536095674641,0.02167483360820808,0.8497333947413004,0.02428155854247041
ccdefault,mlp,lime,0.25,0.5744065238885508,0.020346445457298277,0.5441414413295237,0.016207493544139265,0.45044126211363,0.021026448923682446,0.5410355779822067,0.0033730653945458497,0.8404226644199314,0.025061356782570193
ccdefault,mlp,lime,0.5,0.5496825362441846,0.014411701308278986,0.5270034292376804,0.017963972103522657,0.3720471066921573,0.025734469088968037,0.46542616979013063,0.030926567732901457,0.7958732782369147,0.029779001671151155
ccdefault,rf,lime,0.0,0.7873474,0.016228555336196784,0.6784,0.01645600194457948,0.6596964,0.012281735353768227,0.8933666,0.0009424597073615896,0.958,0.012727922061357805
ccdefault,rf,lime,0.01,0.6666952369634636,0.016579731429997947,0.6480011440885493,0.01983356962045587,0.4375334352825938,0.009214067275774682,0.452638039541581,0.015242708984824039,0.8160704162993436,0.013032642104691676
ccdefault,rf,lime,0.05,0.67531937104005,0.020707292167892487,0.6435367646963598,0.015529804988418036,0.41495715298200936,0.021089016874066425,0.434004695546682,0.04010252800156704,0.80306845962076,0.02115742644650091
ccdefault,rf,lime,0.1,0.6668598583725108,0.019995351096239324,0.6357005558151683,0.02134122046279387,0.3863954845428739,0.013038255832945194,0.4315049251567026,0.02551656435900226,0.7902728804949739,0.016159798452507684
